Key,Chinese,English,
common_buy,买入,Buy,
fixed_invest_coin,{{value}} 定投,{{value}} Fixed Invest,
week_day,每周 周一,Weekly Mon.,
his_return_rate,历史收益率,Historical return rate,
total_amount,累积金额,Total Amount,
people_joined,{{value}}人加入,{{value}} have joined,
people_investd,已投{{value}}期,Invested {{value}} Term,
coin_receive_spc,收款 {{value}},Receive {{value}},
trans_status,交易状态,Transaction Status,
verify_password,验证密码,Verify Password,
full_name,全称,Full Name,
total_supply,发行总量,Total Supply,
issue_org,发行组织,Issuance Organization,
org_address,组织地址,Organization Address,
regi_date,注册时间,Registration Date,
official_site,官方网站,Official Website,
txn_desc,交易描述,Txn Description,
asc_btc_desc,Asimov链的BTC收款地址，仅能接收来自Asimov链的BTC,The BTC address of Asimov can only receive asset from other Asimov BTC address,
gen_btc_dsc,常规BTC地址可以接收来自非Asimov链的BTC转账,The regular BTC address can receive BTC send from general BTC address(none Asimov address),
common_package,打包中…,Packaging…,
my_wallets,我的钱包,My Wallets,
wallet_info,钱包详情,Wallet Information,
wallet_pw,钱包密码,Wallet Password,
wallet_mn,钱包助记词,Wallet Mnemonics,
import_old,导入已有钱包,Import Old Wallet,
create_new,创建新钱包,Create New Wallet,
record_mn,记录助记词,Record Mnemonics,
tab_service,服务,Service,
tab_message,消息,Message,
tab_im,社交,IM,
中文,中文,中文,
英文,English,English,
input_tips_mnemonic,请输入助记词,Please enter your mnemonics,
old_password_error,旧密码错误！,Incorrect old password!,
tab_home,首页,Home,
input_tips_amount,输入金额,Enter amount,
less_min_amount,小于最小转账金额,Less than the minimum transfer amount,
transfer_record,交易记录,Transactions,
no_transfer_info,暂无记录,No records,
not_asset,您输入的地址与选择的币种不一致,The address you enter does not match selected coin type,
notice_done,确定,Done,
me_wallet_detail,钱包详情,Wallet Information,
notification_read,全部已读,All read,
home_exchange,兑换,Exchange,
me_back_up_tip,已备份,Backed up,
common_transfer,转账,Send,
wallet_re_pw,重置密码,Reset Password,
receive_specify_amount1,指定金额,Specify amount,
scan_tips2,请扫描对方收款二维码,Please scan the QR code of the receipt,
all_coin,全部币种,All Assets,
seven_day_annual,近七日年化,7-day Annual,
confirm_transfer,确认付款,Confirm Payment,
cross_chain,风控处理中,Risk control processing,
coin_receive1,{{value}} 收款,Receive {{value}},
back_up_success,备份成功,Backup success,
app_name,Pipay,Pipay,
tab_asset,资产,Asset,
about,关于,About,
cancel,取消,Cancel ,
confirm,确认,Confirm ,
rationale_camera,此功能需要获取您的相机权限,This feature requires access to your camera ,
no_qrcode,未发现二维码,No QR code found,
scan_err,扫描出错,Scan error,
transfer_succ,转账成功,Transfer successfully ,
balance_not_enough,资产余额不足,Insufficient balance,
pwd_error,密码输入错误,Incorrect Password,
save,保存,Save ,
scan_result,扫描结果,Result ,
add_remark,添加备注,Add a note ,
transfer_confirm,确认付款,Confirm Payment,
merchant_features,商家功能,Merchant Features ,
exchange,兑换,Exchange ,
ok,确定,OK,
check_mne_code_err,助记词无效,Invalid mnemonic words,
gen_mne_code_failed,生成助记词失败,Failed to generate mnemonic,
reset_pay_passphrase,重置支付密码,Reset Payment Password ,
common_asset,资产,Asset,
empty_data,暂无记录,No records,
begin_backup,开始备份,Start Backup ,
title_mne_code_backup,备份助记词,Backup mnemonics,
wallet_security,钱包安全,Wallet security,
wallet_pwd,钱包密码,Wallet password,
reset_pwd,重置密码,Reset password ,
verify_pay_pwd,验证支付密码,Verify payment password ,
wrong_pwd,密码不正确,Incorrect password ,
version,版本,Version,
backup_succ,备份成功,Backup success,
search_coin,搜索币种,Search coin,
wrong_input,输入错误,Input error,
second_format,%s秒,%s sec,
saved,已保存,Saved,
saved_failed,保存失败,Fail to save,
no_match_asset,无指定资产,No matching assets,
change_env,切换环境,Change env,
got_it,知道了,Got it,
default_wallet,我的第一个钱包,My first wallet,
wrong_address,地址错误,Incorrect Address,
notification_center,通知中心,Notification Center,
all_read,全部已读,All read,
pledge_for_PI,质押 {{value}}借{{value1}},Pledge {{value}} for {{value1}},
Pledge_amount,质押数量,Pledge amount,
pledge_rate,质押率,Pledge rate,
Pledge_amount_tips,请输入您想用于质押的{{value}}数量,Please enter the amount of {{value}} you would like to pledge,
loan_amount_tips,请输入您想借的PI数量,Please enter the amount of PI you want to loan,
pi_amount,借PI金额,Amount of PI,
current_an_fee,当前年化费率,Current Annual Fee,
liqui_fee,清算罚金,Liquidation Fee,
start_loan,开始借PI,Pledge to Get PI,
txn_amount,交易金额,Transaction Amount,
loan_detail,质押借PI详情,Loan Detail,
current_status,当前状态,Current Status,
loan_overview,借PI概览,Loan Overview,
total_pledge,总质押资产,Total Pledge,
total_loan,总借(PI),Total Loan(PI),
current_pledge_rate,当前质押率,Current Pledge Rate,
current_rate,当前费率,Current Rate,
loan_history,操作记录,Loan History,
create_order,创建借款订单,Create Loan Order,
manage_loan,管理借款,Manage Loan,
common_deposit,存{{value}},Deposit {{value}},
common_withdraw,取{{value}},Withdraw {{value}},
loan_pi,借 PI,Loan PI,
repay_pi,还 PI,Repay PI,
current_price,当前价格,Current Price,
liqui_price,清算价格,Liquidation Price,
add_pledge_des,增加质押资产能提高质押率，保证订单的稳定，请输入您要存入的质押资产数额,"Add asset as pledge can raise the pledge rate and enhance the stability of the loan, please enter the amount you want pledge",
deposit_title,存入资产质押,Deposit Asset as Pledge,
current_pdg_amount,当前已质押,Already Pledged,
new_rate,预计存入后质押率,Expected pledge rate after deposit,
new_rate_loan,预计借PI后质押率,Expected pledge rate after the loan,
new_pi_amount,预计存入后可借PI ,PI you can loan after deposit,
confirm_deposit,确认存入,Confirm Deposit,
withdraw_asset_title,取出质押资产,Withdraw Pledged Asset,
withdraw_detail,请输入您想要取出的质押资产数额,Please enter the amount of pledged asset you want to withdraw,
withdraw_amount,取出数量,Withdrawal Amount,
withdraw_tips,当前可取出,You can now withdraw,
new_plg_rate,预计取后质押率,Pledge rate after the withdrawal,
confirm_withd,确认取出,Confirm Withdrawal,
withd_insufficient,可取出余额不足,There is no enough asset to withdraw,
txn_confirm,交易确认中…,Txn confirming ,
pi_loan_amount,请输入您想要借PI的数量,Please enter the amount of PI you want to loan,
loan_amount_pi,借PI数量,Loan Amount(PI),
loan_most,最多可借,You can loan at most,
confirm_loan,确认借PI,Confirm Loan,
confirm_txn,确认交易,Confirm Transaction,
full_repay,全额还款,Full Repay,
repay_amount,偿还数量,Repayment Amount,
repay_amount_tips,请输入您想要偿还的PI的数量,Please enter the amount of PI you want to repay,
total_loan_pi,已借的PI ,Total loan(PI),
stable_fee,稳定费用(费率{{value}}) ,Stability fee(rate {{value}}),
confirm_repay,确认还款,Confirm Repay,
order_risky_tips,质押率过低，请尽快存入资产质押或及时还款,"The current pledge rate is too risky, please add more pledge or repay the PI asap.",
loan_over,无法借出{{value}}PI，请先增加质押,"Can’t loan {{value}}PI, please add more pledge",
liqui_tips,质押资产跌破清算价，已被平仓,"The price of pledged asset has dropped below liquidation price, the liquidation has been completed",
switch_wallet,切换钱包,Switch Wallet,
loan_pi_most,依据当前质押，最多可借{{value}},"With your current pledge, you can get {{value}} PI at most ",
withdraw_most,最多能取出{{value}},You can withdraw {{value}} at most ,
view_txns,查看交易记录,View Transactions,
in_process,暂不可用: ,In Processing:,
close_liqui,爆仓清算,Liquidation,
liqui_refund,清算退款,Liquidation Refund,
insuf_pledge,质押资产过少,Insufficient Pledge,
insuf_pledge_desc,质押资产价值接近清算价，资产价格波动时，容易被平仓，建议增加质押资产数额,"The pledge is too close to liquidation price, it’s likely to be liquidated when price fluctuating, it is suggested to add more pledge",
continue_loan,继续借款,Continue(loan),
insufw_pledge,剩余质押过少,Insufficient Pledge Left,
insufw_pledge_desc,剩余质押资产价值接近清算价，资产价格波动时，容易被平仓，建议取出更小的金额,"The rest pledge is too close to liquidation price, it’s likely to be liquidated when price fluctuating, it is suggested to withdraw a lesser amount",
less_amount,减少金额,Less Amount,
continue_withdraw,继续取出,Withdraw,
repay_over,总欠款为{{value}}，输入金额过多，请重输,"The total debt is {{value}}, you entered a higher amount, please re-enter",
pi_cant_hide,Pipay主币PI不能隐藏,"Can’t hide PI from homepage, it’s the main asset of Pipay",
wallet_balance,钱包余额,Wallet balance,
yes_pro,昨日收益(PI),Yesterday’s Earning(PI),
deposit_pi,存PI收息,Deposit PI,
my_deposit,我的存款,My Deposits,
deposit_desc,存取灵活，即时收益,"Flexible invest, instant earnings",
deposit_total,总存 (PI),Total(PI),
gains_total,总收益 (PI),Total Earnings(PI),
days_fixed,{{value}}天定期,{{value}} days fixed,
recent_rate,当前收益率,Current rate,
my_loans,我的借款,My loans,
my_loans_desc,安全透明，极速到账,"Secure, transparent, fast ",
total_due_interest,总欠息 (PI),Total debit interest(PI),
asset_pledge,{{value}}质押,{{value}} Pledge,
asset_loan_amount,{{value}} 可借 {{value1}} PI,{{value}} can get {{value1}} PI,
least_rate,{{value}}起,{{value}}up,
ex_pi,兑换PI,Exchange PI,
ex_pi_desc,双向兑换，实时到账,"Two-way, rapid exchange ",
ex_record,兑换记录,Records,
common_ex,去兑换,Exchange,
pi_issue_info,PI发行信息,PI Issuance Info,
total_issue_amount,总发行量,Total Issued Amount,
pi_desc,基于资产质押发行的稳定币,A stable coin issued based on pledged assets,
common_price,价格,Price,
pledged_asset,质押资产,Pledged Asset,
data_overview,数据概览,Data Overview,
total_orders,借PI订单总数,Total PI Loan Orders,
current_an_rate,当前借款费率,Current Annual Rate,
other_info,其他,Other Info,
common_check,查看,Check,
common_visit,访问,Visit,
rate_desc,根据各币种特性，行情，以及借款期限，Pipay 借PI会有多个不同的借款利率，您可按需选择,"According to asset features, market prices, and loan period, Pipay set different loan fees for PI, you can choose what you need",
asset_rate,{{value}}借款费率,{{value}} Loan Rate,
loan_demand,随借随还,Due on demand,
pledge_rate_desc,质押率是指质押资产与借出资产的价值之比，质押率越高，借贷订单越可靠，由于Pipay的每次借款都是基于单个币种借出，因此每个币种会有自己的全局质押率,"The pledge rate refers to the ratio of the value of pledged assets to the value of lent assets. The higher the pledge rate is, the more reliable the loan order is. Since each order on Pipay is based on a single asset, each asset will have its own global pledge rate",
pledged_value,质押资产总价值,Total value of pledged assets,
global_rate,全局质押率,Global Pledge Rate,
Pledged_status,{{value}}质押情况,{{value}} Pledge Status,
asset_pledge_amount,质押{{value}}总量,Total {{value}} Pledge,
asset_pledge_value,质押{{value}}总价值,Total {{value}} Pledge Value,
asset_issue_pi,基于{{value}}发行PI,PI Issued Based on {{value}},
asset_global_rate,{{value}}全局质押率,{{value}} Global Pledge Rate,
pledge_recharge_tips,质押物不足，需要充值至少,"Insufficient Pledge, you need to recharge at least",
recharge_desc,扫描二维码充值,Scan the QR Code to Recharge,
recharge_tips1,1. 请不要充值其它资产,1. Do not send other asset to this address,
recharge_tips2,2. 请充值不少于提示金额的BTC数额,2. Do not send a lesser amount ,
recharge_tips3,3. 跨链收款需要相对普通交易较长的等待时间，您可在交易详情界面关注交易进度,"3. Cross-chain transfer takes a longer time than usual, you can check the progress at the transaction detail",
button_recharged,已充值，查看进度,"Recharged, Check Progress",
recharge_more,继续充值,Recharge More,
pending_recharge,待充值,Waiting Recharge,
recharge_confirming,充值确认中,Confirming,
recharge_done,充值完成,Confirmed,
pending_payment,待支付,Waiting Pledge Payment,
loan_info,借款信息,Loan Info,
loan_rate,借款利率,Loan Rate,
loan_amount,借款金额,Loan Amount,
loan_period,借款期限,Loan Period,
expected_date,预计还款日{{value}},Expected Repay Date{{value}},
expected_date_min,预计还需{{value}}分钟,Expected in {{value}} min,
pledge_info,质押信息,Pledge Info,
pledge_asset_amount,质押币种与金额,Pledged Asset and Amount,
pledge_rate_loan,借款质押率,Loan Pledge Rate,
asset_price_now,质押资产当前价格,Asset Current Price,
asset_price_liqui,质押资产清算价格,Asset Liquidation Price,
penalty_ratio,清算罚金比例,Liquidation Penalty Ratio ,
loan_terms,质押借PI规则及风险提示,Loan Rules and Risks,
pledge_pay,支付质押,Pay the Pledge,
pledge_pay_tips,质押物已满足，可支付质押完成借款,"There is enough asset, you can pay the pledge to loan",
pledge_fall_desc,由于{{value}}价格下跌过多，导致质押率过低，当前的质押数量无法借出您需要的PI，您可以等待价格回升，也可以重新下单,"Since {{value}} drops to a risky price, the current pledge amount can’t get the amount of PI you need, you can wait for the price to recover, or you can also reorder",
rate_change_desc,停留时间过长，利率已变为{{value}}，请重新下单,"You take too long to confirm the order, the interest rate has changed to {{value}}, please re-order",
cancel_loan,取消借款,Cancel Loan,
re_order,重新下单,Place New Order,
go_get_pi,开始借PI,Get PI,
choose_period,选择借贷期限,Choose loan period,
enter_loan_amount,输入想借的PI数量,Enter the amount of PI you want to loan,
balance_loan_most,当前余额最多可借:,You can now loan:,
required_pledge,需要的质押物,Required Pledge,
pledge_rate_con_desc,质押率是指质押资产与借出资产的价值之比，质押率越高，借贷订单越可靠,"The pledge rate refers to the ratio of the value of pledged assets to the value of lent assets. The higher the pledge rate is, the more reliable the loan order is",
pledge_insf_desc,您的{{value}}资产不满足质押所需数量，还差{{value1}},"Your {{value}} balance is not sufficient to pledge, still need {{value1}}",
recharge_asset,充值{{value}},Recharge {{value}},
change_amount,修改借款数量,Edit Loan Amount,
total_interest,总利息,Total Due Interests,
asset_desc,您选择的用于质押借款的币种和需要质押的金额,The asset you have chosen as the pledge and the amount you need to pledge,
price_desc,用于质押的资产的实时市场价格，会用于计算质押率,"The real-time market price of the pledged asset, which is used to calculate the pledge rate",
liqui_desc,当质押资产跌至清算价格时，为避免风险，系统将自动清算本借款单，用于结算借款和罚金,"When the pledged assets fall to the liquidation price, the system will liquidate the pledges to settle the loan and pay the penalty",
penalty_desc,在清算发生时，从质押资产中扣除用于补偿系统的资金比例,"At the time of liquidation, the proportion of funds deducted from the pledged assets and used to compensate the system",
status_1,借出 {{value}} 交易确认中,Loan {{value}} transaction confirming,
repay_date,还款期限,Repay Date,
count_start,交易确认后开始计期,Count after the confirmation of txn,
total_debit_interest,总欠利息,Total debit interest,
debit_interest,已欠利息,Debit interest,
asset_current_price,{{value}}当前价格,{{value}} current price,
asset_liqui_price,{{value}}清算价格,{{value}} liquidation price,
close_position,平仓线 {{value}},Close Position {{value}},
history_record,历史记录,Historical Records,
status_2,借款成功，别忘了还款哦,"Loan successful, don't forget to repay",
fixed_date,定期{{value}}天，至{{value1}},"Fix {{value}} days, end in {{value1}}",
date_left,还剩 {{value}}天,{{value}} day left,
daily_interest,每日利息,Daily interest,
add_pledge,追加质押,Add Pledge,
repay_loan,去还款,Repay the Loan,
confirm_adding,确定加仓,Confirm Adding Pledge,
repay_available,还款可用余额：{{value}},Available balance: {{value}},
total_loan_amount,总借款,Total Loan,
total_accrued_interest,总产生利息,Total Accrued interest,
repay_detail,本次还款,Repayment Detail,
pay_interest,付息,Pay the interest,
pay_principal,还本金,Pay the principal,
debt_repayment,还款后欠款余额,Debt after repayment,
confirm_repayment,确定还款,Confirm Repayment,
status_3,借款已还清，质押资产已退回，订单已关闭,"The loan has been paid off, the pledged assets has returned, and the order is closed",
returned_pledge,退还质押,Returned Pledge,
days_loaned,已借天数,Days Loaned,
loan_start,{{value}}起借,Start from {{value}},
status_4,借款{{value}}天后将到期，请记得按时还款,The loan will be due in {{value}} day. Please remember to pay it back on time,
status_5,质押的{{value}}价格下跌逼近清算价格，请及时追加{{value}}质押，或提前还款,"The pledged {{value}} price is falling close to liquidation price, please add more {{value}} Pledge, or repay in advance",
status_6,您已逾期还款，请在{{value}}天内完成还款，否则系统将自动平仓清算,"You have overdue the repayment, please complete the repayment within {{value}} days, otherwise the system will automatically liquidate the pledges",
status_7,由于质押物价格下跌，本订单已进行平仓清算,This order has been liquidated due to falling collateral prices,
status_71,清算会拍卖质押资产用于偿还债务和付罚金，清算完成若有剩余质押物，会原路退回,"The liquidation be auction the pledged asset to repay debts and pay penalties. If there are any remaining pledges after the liquidation, the assets will be returned",
status_8,由于您逾期{{value}}天未还款，系统已自动平仓清算,"You have overdue {{value}} days, the system has liquidated",
liqui_info,清算信息,Liquidation info,
liqui_asset,清算质押财产,Liquidated Pledge Asset,
liqui_asset_desc,清算的是您质押用于借款的资产,What has liquidated is your pledged assets,
loan_repayment,偿还借款,Loan Repayment,
pay_the_interest,支付利息,Pay the interest,
pay_the_penalty,支付罚金,Pay the penalties,
trigger_price,触发清算价格,Liquidation Trigger Price,
liqui_date,清算时间,Liquidation Date,
loan_ongoing,借款中,Ongoing,
loan_ended,已结束,Ended,
current_loan,当前借款总额 (PI),Current Loan Amount(PI),
accrued_interest,已产生利息 (PI),Accrued Interests(PI),
status_ongoing,进行中,Ongoing,
status_rate_risky,质押率过低,Risky pledge rate,
status_repay_day,{{value}}天后需还款,Repay due in {{value}} day(s),
status_repay_hour,{{value}} 小时后需还款,Repay due in {{value}} h(s),
status_repay_min,{{value}} 分钟后需还款,Repay due in {{value}} min(s),
overdue_date,已逾期{{value}}天,Repay overdue {{value}} day(s),
pending_pledge,待支付质押,Pending pledges,
status_confirming,借款确认中,Loan confirming,
accrued_interests,已产生利息,Accrued Interests,
common_loan,借款,Loan,
common_repaied,已还清,Repayed,
common_liquidated,已平仓,Liquidated,
enter_deposit_amount,输入存款金额,Enter deposit amount ,
expected_rate,预计年化收益,Expected annual rate,
expected_interest,预计到期收益,Expected Earnings,
rate_base,实际利率视基准利率而定,The actual rate is decided by the base rate,
deposit_rules,存PI收息规则及风险提示,Deposit Rules and Risks,
deposit_terms,我已阅读并同意Pipay{{value}},I have read and I agree with the{{value}},
deposit_confirming,存款交易确认中,Deposit Transaction Confirming,
deposit_info,存款信息,Deposit Info,
deposit_amount,存款余额,Deposit Balance,
deposit_period,存款期限,Deposit Period ,
current_annual_rate,当前年化利率,Current Annual Rate,
expected_total_interest,预计总收益(PI),Expected Earnings(PI),
end_date,{{value}}到期,End at {{value}},
end_desc,存款已到期，已自动转回余额,The deposit has matured and it has been automatically refunded to wallet balance,
view_asset,去余额查看,View Asset,
common_ended,已到期,Ended,
pipay_scan,使用Pipay扫一扫向我付款,Use Pipay to scan the QR code to pay me,
asimov_chain,Asimov链內,Asimov Chain,
cross_chain_desc1,"1. {{value}}跨链收款地址会不定时更新，请不要在其它地方保存地址或二维码图片重复使用
","1. {{value}} cross-chain receive address will be updated from time to time, please do not save the address in other places or reuse the QR code picture",
cross_chain_desc2,"2. 每次收款之前，请到本界面获取最新的收款地址
","2. Before each payment, please go to this interface to get the latest payment address",
cross_chain_desc3,"3. 跨链收款需要相对普通交易较长的等待时间，您可在交易详情界面关注交易进度
",3. Receiving asset across chains requires a longer waiting time than ordinary transactions. You can check the transaction progress at transaction details,
cross_chain_address,{{value}}跨链收款地址,{{value}} Cross-chain Receive Address,
debt_interest,当前欠息,Current Debt Interest,
deposit_least,存款不能少于{{value}},Deposit can’t be less than {{value}},
loan_least,借款不能少于{{value}},Loan can’t be less than {{value}},
interest_insufficient,当前系统利息不足，系统稍后会将全部资金与利息自动转至余额,"Current system interest is insufficient, the system will automatically transfer all funds and interest to the balance later",
deposit_most,存款不能大于{{value}},Deposit can’t be higher than {{value}},
loan_most_tips,借款不能大于{{value}},Loan can’t be higher than {{value}},
feature_try_later,功能暂不可用，请稍后再试,"This feature is currently unavailable, please try again later",
pledge_asset,质押币种,Pledge Asset,
pull_more,上拉加载,Pull up to load more,
common_day,天,day(s),
withdraw_early,提前取款,Withdraw,
withdraw_confirming,取款交易确认中,Withdraw transaction confirming,
withdraw_pi_desc,请输入您想要取出的PI的数量,Please enter the amount of PI you want to withdraw,
withd_available,可取出余额,Available for withdraw,
withdraw_early_desc,提前取款您将无法得到任何利息，确认还要继续取款吗？,You will not get any interest if you withdraw early. Do you still want to withdraw?,
cancel_withdraw,放弃取款,Cancel,
continue_withd,仍要取款,Withdraw,
deposit_detail,存款详情,Deposit Detail,
withd_deposits,取出存款,Withdraw Deposits,
withd_all,全部取出,Withdraw All,
hist_profits,历史累计,Historical ,
pi_balance_profits,PI 余额收益,Earnings of PI balance,
earning_records,收益记录,Earnings Records,
deposit_success,存款成功,Deposit Successful,
withdn_done,存款和收益已全部取出,You have withdrawn the deposit and interests,
end_days,{{value}}天后到期,End in {{value}} day(s),
not_return,已到期未转,"Ended, yet to return",
ended_returned,已到期转至余额,Ended and returned,
withd_made,已提取,Withdrawal made,
go_loan_pi,去借PI,Loan PI,
go_deposit_pi,去存PI,Deposit PI,
loan_tx_tips,有借款交易正在处理中，请稍后再试 ,"Your loan transaction is being processed, please try again later",
deposit_tx_tips,有存款交易正在处理中，请稍后再说 ,"Your deposit transaction is being processed, please try again later",
none_main_asset,暂无主资产,No main asset,
push_desc,推送通知未开启，请在设置中打开,"Push notification is not enabled, please turn it on in Settings",
tx_ongoing_tips,有交易尚未完成确认，请稍后再发送 ,"There is an unconfirmed transaction, please try sending later",
cancel_loan_tips,确认取消本借款单吗？取消后系统不会保留本条记录,Do you confirm the cancellation? this record will be deleted if you cancel,
cancel_button_left,我再想想,No,
cancel_confirm,确认取消,Confirm,
auto_refund,存款到期退回,Deposit Auto Refund,
status_pledge,质押{{value}}交易确认中,"Pledge {{value}}, transaction confirming ",
status_loan,借款{{value}}交易确认中,"Loan {{value}}, transaction confirming ",
status_repay_confirming,还款{{value}}交易确认中,"Repay {{value}}, transaction confirming ",
status_withdraw,取款{{value}}交易确认中,"Withdraw {{value}}, transaction confirming ",
status_pledge_sucs,质押{{value}}交易确认成功,"Pledge {{value}}, transaction confirmed ",
status_loan_sucs,借款{{value}}交易确认成功,"Loan {{value}}, transaction confirmed ",
status_repay_suss,还款{{value}}交易确认成功,"Repay {{value}}, transaction confirmed ",
status_withdraw_sucs,取款{{value}}交易确认成功,"Withdraw {{value}}, transaction confirmed ",
call_contract,调用合约,Call Contract,
contract_address,合约地址,Contract Address,
call_address,调用地址,Calling Address,
txn_interest,PI 余额收益,Earnings of PI balance,
txn_deposit,存入定期,Deposit PI,
txn_deposit_withdraw,取出存款,Withdraw Deposits,
pledege_refund,质押退回,Refund of Pledge,
pi_interest_desc,当您的钱包余额中有PI时，即可自动获得利息，系统会每天自动计算并发放到您钱包,"When you have PI in your wallet balance, it automatically earns interest, and the system will calculate and send it to your wallet every day",
pi_interest_title,持PI得息,PI Holding Gains,
total_deposits,存款总额,Total Deposits,
txn_repay_loan,还PI支出,Repay PI loan,
loan_pi_received,借PI到账,Loan PI Received,
learn_more,了解一下,Learn More,
common_locking,有正在确认中的交易导致部分余额被锁定，因而暂不可用，交易完成确认后会自动解锁，恢复可用状态,"Part of your balance has been locked because of transactions in confirmation, you can use this part when confirmations are done.",
address_contract_notice,您输入的是合约地址，确认要继续转账吗？,"You entered a contract address, do you want to continue?",
content_not_support,扫描内容为本钱包不支持的收款地址或资产类型：,The scanned content( address or asset) is not supported by this wallet:,
scan_cross_btc,"本地址只支持 Pipay 扫码转账，若需从Copay, Bitpie等转账，请使用下方“跨链收款”","Please use Pipay to scan this code. If you need to transfer from Copay, Bitpie or others, please click the “cross-chain payment"" below.",
current_validate_fee,当前验证者费用,Current Validator Fee,
scan_cross_eth,"本地址只支持 Pipay 扫码转账，若需从Metamask, Imtoken等转账，请使用下方“跨链收款”","Please use Pipay to scan this code. If you need to transfer from Metamask, Imtoken or others, please click the “cross-chain payment"" below.",